MOLECULE_NAME,SMILES,CHILOGD_10.5
305-727-02,CCCCNc1cn(C2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(N)cc1,1.92
305-728-02,CCCCNc1cn(C2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(CN2CCS(=O)(=O)CC2)cc1,2.73
305-730-01,CN1CCN(Cc2ccc(cc2)-c2ncc3c(NC=O)cn([C@H]4CC[C@H](O)CC4)c3n2)CC1,1.12
305-735-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(C#N)c(c1)N1CCOCC1,3.39
305-736-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(N2CCOCC2)c(c1)N(=O)=O,3.49
305-743-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(C(=O)N2CCOCC2)c(F)c1,2.51
305-744-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(cc1)C(=O)N1CCNCC1,1.78
305-747-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(CNC(C)(C)C)cc1,4.51
305-748-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(CN2CCSCC2)cc1,4.01
305-750-02,CCCCNc1cn([C@H]2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(cc1)C1CCOCC1,3.66
305-752-02,CN1CCN(Cc2ccc(cc2)-c2ncc3c(NCC4CC4)cn(C4CC[C@H](O)CC4)c3n2)CC1,2.58
305-756-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(cc1)N1CCOCC1,3.21
305-757-02,Nc1ccc(cc1)-c1ncc2c(NCCC3CC3)cn(C3CC[C@H](O)CC3)c2n1,1.96
305-758-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(CN2CCS(=O)(=O)CC2)cc1,2.79
305-761-02,CN1CCN(CC1)c1ccc(cc1)-c1ncc2c(NCCC3CC3)cn(C3CC[C@H](O)CC3)c2n1,3.12
305-762-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(CN2CCSCC2)cc1,4.07
305-763-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(cc1)C1CCOCC1,3.66
305-764-02,O[C@H]1CCC(CC1)n1cc(NCC2CC2)c2cnc(nc12)-c1ccc(CN2CCSCC2)cc1,3.63
305-765-02,OC1CCC(CC1)n1cc(NCC2CC2)c2cnc(nc12)-c1ccc(cc1)S(=O)(=O)N1CCOCC1,2.72
305-766-02,OC1CCC(CC1)n1cc(NCC2CC2)c2cnc(nc12)-c1ccc(cc1)C(=O)N1CCOCC1,2.06
305-779-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(C#N)c(c1)N1CCOCC1,3.46
305-780-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(N2CCOCC2)c(c1)[N+]([O-])=O,3.56
305-790-02,CN1CCN(CC1)c1ncc(cn1)-c1ncc2c(NCC3CC3)cn(C3CCC(O)CC3)c2n1,2.39
305-791-02,OC1CCC(CC1)n1cc(NCC2CC2)c2cnc(nc12)-c1cncnc1,1.59
305-794-02,O[C@H]1CCC(CC1)n1cc(NCCC2CC2)c2cnc(nc12)-c1ccc(C(=O)N2CCOCC2)c(F)c1,2.53
305-795-02,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1ccc(cc1)-c1ncc2c(NCCC3CC3)cn(C3CC[C@H](O)CC3)c2n1,3.4
305-796-02,CC(C)(C)NCc1ccc(cc1)-c1ncc2c(NCCC3CC3)cn(C3CC[C@H](O)CC3)c2n1,4.53
305-810-02,Nc1ccc(cc1)-c1ncc2c(NCCCC(F)(F)F)cn(C3CC[C@H](O)CC3)c2n1,1.95
305-811-02,O[C@H]1CCC(CC1)n1cc(NCCCC(F)(F)F)c2cnc(nc12)-c1ccc(CN2CCSCC2)cc1,3.8
305-821-02,CN1CCN(Cc2ccc(cc2)-c2ncc3c(NCCOc4ccccc4)cn(C4CCC(O)CC4)c3n2)CC1,3.07
306-032-03,CN(C)[C@@H](COCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.21
306-032-04,CN[C@@H](COCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,2.7
306-033-01,CN1c2ccccc2OC[C@H](NC(=O)c2n[nH]c3ccccc23)C1=O,2.61
306-043-03,CN1c2ccccc2OC[C@H](NC(=O)C(N)Cc2c[nH]c3ccccc23)C1=O,1.89
306-044-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2ccccc2)C1=O,2.07
306-045-03,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2ccc(OCc3ccccc3)cc2)C1=O,3.28
306-046-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C1=O,1.01
306-046-04,CN(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,1.63
306-046-05,CN[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,0.96
306-047-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)Cc2ccccc2)C1=O,1.93
306-048-01,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.38
306-048-02,CC(C)C[C@H](N)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,1.76
306-049-02,CC(C)C[C@@H](N)C(=O)N[C@@H]1COc2ccccc2N(C)C1=O,1.81
306-050-04,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2c[nH]cn2)C1=O,0.47
306-054-01,CC(O)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,0.87
306-055-01,CN1c2ccccc2OC[C@H](NC(=O)CO)C1=O,0.65
306-056-01,CN1c2ccccc2OC[C@H](NC(=O)[C@H](O)c2ccccc2)C1=O,1.95
306-057-01,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](O)c2ccccc2)C1=O,2.06
306-058-01,COC(C)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,1.47
306-059-01,CC(OCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.14
306-060-01,COCC(=O)N[C@H]1COc2ccccc2N(C)C1=O,1.2
306-061-01,CO[C@@H](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)c1ccccc1,2.75
306-062-01,CO[C@H](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)c1ccccc1,2.83
306-063-01,CN1c2ccccc2OC[C@H](NC(=O)COCc2ccccc2)C1=O,2.89
306-064-01,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](OCc2ccccc2)c2ccccc2)C1=O,3.97
306-065-01,CN1c2ccccc2OC[C@H](NC(=O)[C@H](OCc2ccccc2)c2ccccc2)C1=O,3.91
306-066-04,CN1c2ccccc2OC[C@H](Nc2nc(Cl)nc(NCc3ccccc3)n2)C1=O,3.3
306-066-05,CN1c2ccccc2OC[C@H](Nc2ncnc(NCc3ccccc3)n2)C1=O,2.44
306-067-03,CN(Cc1ccccc1)c1ncnc(N[C@H]2COc3ccccc3N(C)C2=O)n1,3.09
306-068-02,CN1c2ccccc2OC[C@H](Nc2nc(Cl)nc(NCc3cccc(F)c3)n2)C1=O,3.37
306-068-04,CN1c2ccccc2OC[C@H](Nc2ncnc(NCc3cccc(F)c3)n2)C1=O,2.53
306-069-02,CN1c2ccccc2OC[C@H](Nc2nc(Cl)nc(NCCc3ccc(Br)cc3)n2)C1=O,4.03
306-069-03,CN1c2ccccc2OC[C@H](Nc2ncnc(NCCc3ccccc3)n2)C1=O,2.73
306-070-02,CN1c2ccccc2OC[C@H](Nc2ncnc(NCc3ccccc3F)n2)C1=O,2.52
306-072-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)C1=O,1.89
306-073-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)Cc2c[nH]c3ccccc23)C1=O,1.83
306-074-02,C[C@@H](OCc1ccccc1)[C@H](N)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,2.6
306-075-02,C[C@H](OCc1ccccc1)[C@@H](N)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,2.49
306-076-01,C[C@@H](Nc1nc(Cl)nc(N[C@H]2COc3ccccc3N(C)C2=O)n1)c1ccccc1,3.56
306-076-02,C[C@@H](Nc1ncnc(N[C@H]2COc3ccccc3N(C)C2=O)n1)c1ccccc1,2.75
306-077-02,C[C@H](Nc1ncnc(N[C@H]2COc3ccccc3N(C)C2=O)n1)c1ccccc1,2.67
306-078-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)CSCc2ccccc2)C1=O,2.68
306-078-04,CN[C@H](CSCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.11
306-078-05,CN(C)[C@H](CSCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.41
306-079-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)CSCc2ccccc2)C1=O,2.6
306-079-03,CN(C)[C@@H](CSCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.28
306-079-04,CN[C@@H](CSCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,2.98
306-080-01,CO[C@@](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)(c1ccccc1)C(F)(F)F,3.99
306-081-01,CO[C@](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)(c1ccccc1)C(F)(F)F,3.75
306-085-01,CCO[C@H](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)c1ccccc1,3.27
306-086-01,CCCO[C@H](C(=O)N[C@H]1COc2ccccc2N(C)C1=O)c1ccccc1,3.74
306-087-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)CS(=O)(=O)Cc2ccccc2)C1=O,2.05
306-088-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)CS(=O)(=O)Cc2ccccc2)C1=O,2.02
